,payment_type,order_month,order_id
40,credit_card,2017-11,5897
44,credit_card,2018-03,5691
42,credit_card,2018-01,5520
46,credit_card,2018-05,5497
45,credit_card,2018-04,5455
43,credit_card,2018-02,5253
49,credit_card,2018-08,4985
47,credit_card,2018-06,4813
48,credit_card,2018-07,4755
41,credit_card,2017-12,4377
39,credit_card,2017-10,3524
37,credit_card,2017-08,3284
38,credit_card,2017-09,3283
36,credit_card,2017-07,3086
34,credit_card,2017-05,2853
35,credit_card,2017-06,2463
32,credit_card,2017-03,2016
33,credit_card,2017-04,1846
16,boleto,2018-01,1518
14,boleto,2017-11,1509
31,credit_card,2017-02,1356
18,boleto,2018-03,1352
17,boleto,2018-02,1325
19,boleto,2018-04,1287
20,boleto,2018-05,1263
22,boleto,2018-07,1229
15,boleto,2017-12,1160
23,boleto,2018-08,1139
21,boleto,2018-06,1100
13,boleto,2017-10,993
11,boleto,2017-08,938
12,boleto,2017-09,903
10,boleto,2017-07,845
8,boleto,2017-05,772
9,boleto,2017-06,707
6,boleto,2017-03,590
30,credit_card,2017-01,583
7,boleto,2017-04,496
120,voucher,2018-01,416
5,boleto,2017-02,398
122,voucher,2018-03,391
118,voucher,2017-11,387
123,voucher,2018-04,370
114,voucher,2017-07,364
125,voucher,2018-06,324
124,voucher,2018-05,324
121,voucher,2018-02,305
127,voucher,2018-08,295
119,voucher,2017-12,294
115,voucher,2017-08,294
117,voucher,2017-10,291
112,voucher,2017-05,289
116,voucher,2017-09,287
126,voucher,2018-07,281
75,debit_card,2018-08,277
27,credit_card,2016-10,254
74,debit_card,2018-07,242
113,voucher,2017-06,239
111,voucher,2017-04,202
110,voucher,2017-03,200
4,boleto,2017-01,197
73,debit_card,2018-06,182
109,voucher,2017-02,119
68,debit_card,2018-01,109
71,debit_card,2018-04,97
70,debit_card,2018-03,78
66,debit_card,2017-11,70
69,debit_card,2018-02,69
67,debit_card,2017-12,64
1,boleto,2016-10,63
108,voucher,2017-01,61
65,debit_card,2017-10,52
72,debit_card,2018-05,51
64,debit_card,2017-09,43
63,debit_card,2017-08,34
58,debit_card,2017-03,31
60,debit_card,2017-05,30
61,debit_card,2017-06,27
59,debit_card,2017-04,27
105,voucher,2016-10,23
62,debit_card,2017-07,22
128,voucher,2018-09,15
57,debit_card,2017-02,13
56,debit_card,2017-01,9
129,voucher,2018-10,4
26,credit_card,2016-09,3
53,debit_card,2016-10,2
101,not_defined,2018-08,2
29,credit_card,2016-12,1
102,not_defined,2018-09,1
90,not_defined,2017-09,0
50,credit_card,2018-09,0
97,not_defined,2018-04,0
91,not_defined,2017-10,0
92,not_defined,2017-11,0
93,not_defined,2017-12,0
94,not_defined,2018-01,0
96,not_defined,2018-03,0
95,not_defined,2018-02,0
107,voucher,2016-12,0
98,not_defined,2018-05,0
89,not_defined,2017-08,0
100,not_defined,2018-07,0
103,not_defined,2018-10,0
104,voucher,2016-09,0
106,voucher,2016-11,0
3,boleto,2016-12,0
2,boleto,2016-11,0
99,not_defined,2018-06,0
87,not_defined,2017-06,0
78,not_defined,2016-09,0
51,credit_card,2018-10,0
80,not_defined,2016-11,0
81,not_defined,2016-12,0
52,debit_card,2016-09,0
54,debit_card,2016-11,0
55,debit_card,2016-12,0
76,debit_card,2018-09,0
77,debit_card,2018-10,0
79,not_defined,2016-10,0
88,not_defined,2017-07,0
86,not_defined,2017-05,0
82,not_defined,2017-01,0
83,not_defined,2017-02,0
84,not_defined,2017-03,0
28,credit_card,2016-11,0
85,not_defined,2017-04,0
25,boleto,2018-10,0
24,boleto,2018-09,0
0,boleto,2016-09,0
